id,major_mm,minor_mm,area_px,r,g,b,luma
0,0.5930485330055206,0.13799972669310231,53,211,217,214,214.86399999999998
1,0.5235346812771815,0.1445250792162784,49,208,214,211,211.864
2,0.6625909843183801,0.15148178952830182,65,201,206,203,204.16299999999998
3,0.4179001076812495,0.09607125356993121,26,220,226,224,223.978
4,0.27860007178749974,0.055425723213421846,10,225,232,225,229.109
5,0.6625909843183801,0.16313423487663273,70,183,188,182,185.82099999999997
6,0.6698724225552206,0.16136098400740398,70,186,190,185,188.23399999999998
7,0.38465479653840273,0.08028814721717256,20,225,232,225,229.109
8,0.5930485330055206,0.14060349512127404,54,211,217,214,214.86399999999998
9,0.6999740173749308,0.15662786273225715,71,200,204,203,202.69
10,0.20895005384062476,0.036950482142281235,5,223,231,224,227.80999999999997
11,0.9460616060807033,0.2023927073558047,124,164,168,162,166.11999999999998
12,0.5572001435749995,0.1441068803548968,52,208,216,208,212.69599999999997
13,0.2202526957837293,0.042065166315955166,6,225,232,227,229.337
14,0.20895005384062476,0.036950482142281235,5,223,231,224,227.80999999999997
15,0.24625,0.043894933304744733,7,228,234,228,231.522
16,0.6268501615218743,0.14780192856912494,60,203,210,203,207.10899999999998
17,1.2342014624849542,0.2464749357615809,197,152,155,145,152.963
18,0.05557267397945399,0.05557267397945399,1,233,237,233,235.348
19,0.7661501974156243,0.1632539483740789,81,194,198,194,196.348
20,0.34825008973437466,0.06651086785610621,15,226,233,227,230.22299999999996
21,0.6698724225552206,0.14983519943544657,65,195,199,195,197.34799999999998
22,0.6268501615218743,0.14287519761682077,58,200,206,198,203.29399999999998
23,0.6307077373871356,0.15424282939615758,63,201,206,203,204.16299999999998
24,0.6625909843183801,0.1468208113889695,63,208,216,208,212.69599999999997
25,0.6625909843183801,0.14915130045863564,64,197,203,195,200.29399999999998
26,0.4179001076812495,0.10715639821261558,29,228,231,222,229.07699999999997
27,0.5930485330055206,0.15101856883396103,58,205,210,207,208.163
28,0.6625909843183801,0.1468208113889695,63,203,208,206,206.277
29,1.5203818804826634,0.2447693023779487,241,145,148,138,145.963
30,1.0801368258234696,0.18727728957128242,131,181,184,179,182.53300000000002
31,1.270993558205548,0.2113968401933232,174,171,175,169,173.11999999999998
32,1.255633555222223,0.2754721494999966,224,149,152,141,149.849
33,0.6625909843183801,0.1654647239462989,71,193,197,193,195.348
34,0.6965001794687493,0.16184311178319177,73,189,194,185,191.479
35,1.044750269203124,0.24239516285336485,164,152,156,146,153.664
36,0.7321538858054364,0.16028903461122973,76,193,198,190,195.593
37,0.4540625645216747,0.10882454831677318,32,225,232,225,229.109
38,1.7412504486718734,0.24209955899622662,273,153,155,145,153.262
39,0.4179001076812495,0.10715639821261558,29,229,232,224,230.191
40,1.2842828738249217,0.21882820071144252,182,170,172,164,170.48999999999998
41,0.6307077373871356,0.16648432379267802,68,191,197,188,194.18
42,0.6421414369124608,0.13466350813011846,56,186,192,183,189.17999999999998
43,0.48755012562812455,0.11718581479409187,37,228,231,222,229.07699999999997
44,3.9094077956258286,0.18840828528011178,477,226,232,230,229.97799999999998
45,4.711812131494633,0.36999731164439537,1129,216,222,220,219.978
46,4.492291174890603,0.47813641908273335,1391,196,201,200,199.39100000000002
47,4.7772499999999996,0.4680402314084711,1448,208,214,213,212.092
48,4.51518026356645,0.49144426013030545,1437,203,207,206,205.69
49,3.5735957469333317,0.2316071485407977,536,140,143,133,140.963
50,4.462223948044294,0.4640555892350601,1341,199,202,200,200.875
51,4.414954161709948,0.49175831775736406,1406,201,206,204,204.277
52,4.4325,0.4689093668903684,1346,200,203,203,202.10299999999998
53,4.484184778195475,0.29167049779956367,847,225,231,228,228.86399999999995
54,4.674860225183208,0.38415251167021497,1163,213,219,217,216.978
55,4.707692063261997,0.47233163878235207,1440,206,210,210,208.80399999999997
56,4.363561117367327,0.49294974450367274,1393,202,206,204,204.576
57,4.3931993822839415,0.5448078755320162,1550,188,190,193,189.744
58,4.294645183248553,0.4803654481916785,1336,197,202,201,200.39100000000002
59,1.3002373100707423,0.21139269283252635,178,173,175,171,173.946
60,1.2023457281497698,0.24144659058259393,188,151,154,145,152.077
61,0.7693095930768055,0.19871316436250205,99,170,172,163,170.37599999999998
62,0.5235346812771815,0.12092914791566153,41,213,220,216,217.451
63,1.9533074034826161,0.2719445997531729,344,172,171,165,170.615
64,1.9810502580701985,0.28528450540726086,366,147,147,135,145.632
65,2.2703128226083735,0.227171244611264,334,170,168,162,167.914
66,0.05557267397945399,0.05557267397945399,1,135,128,119,129.06699999999998
67,3.565781628899897,0.31266196073784613,722,194,197,195,195.87499999999997
68,3.3493621127761024,0.3858832674691346,837,199,202,198,200.647
69,3.440457091724877,0.1840179988392361,410,216,222,219,219.864
70,3.300117516846938,0.32426227243127537,693,208,214,211,211.864
71,0.9409199288462328,0.21006316043159134,128,172,175,169,173.41899999999998
72,2.480166627466792,0.1537831266212384,247,174,178,174,176.348
73,2.474781871701019,0.12229585508002262,196,171,174,167,172.305
74,3.2853847757911097,0.19270376906127235,410,208,213,211,211.277
75,2.3459755566714673,0.26065394105234346,396,188,190,185,188.832
76,2.4417273854793864,0.38260513387232864,605,194,197,194,195.76099999999997
77,2.9848100546768466,0.36731126035226735,710,205,210,208,208.277
78,3.0744783398976807,0.3611187556949716,719,184,185,182,184.35899999999998
79,2.4466892426297213,0.3729934977633759,591,193,194,188,193.017
80,2.3844325320713105,0.37949422394827326,586,189,193,190,191.462
81,2.048468482793914,0.2133289234675229,283,208,214,213,212.092
82,2.478699217835839,0.3663077346679416,588,191,196,193,194.163
83,2.3844325320713105,0.3412857611275427,527,186,190,190,188.80399999999997
84,2.3773011220709925,0.3546508785207677,546,191,194,188,192.41899999999998
85,0.871321446137991,0.16658735880428055,94,156,156,149,155.20199999999997
86,1.3113824051358933,0.2543413612705277,216,141,143,136,141.60399999999998
87,0.24625,0.037624228546924064,6,232,235,234,233.98899999999998
88,0.5930485330055206,0.15362233726213279,59,210,213,207,211.419
89,0.4179001076812495,0.1293266874979843,35,226,229,224,227.53300000000002
90,0.5930485330055206,0.15101856883396103,58,213,217,204,214.32199999999997
91,1.3233503409906238,0.2590423274395715,222,146,147,139,145.789
92,1.362187693565024,0.2890652064664288,255,141,143,132,141.148
93,1.6846091905839766,0.2337403055185181,255,162,165,160,163.533
94,1.7067807599396005,0.2668928074669977,295,144,143,131,141.93099999999998
95,1.3397448451104412,0.23282084835354003,202,174,175,167,173.789
96,1.9681522584647764,0.26597057852132183,339,149,150,139,148.447
97,0.9292471415075755,0.19940801248307133,120,167,168,162,167.017
98,1.7927270602353278,0.2575429150251026,299,165,167,160,165.604
99,1.42825,0.2367731624073669,219,140,139,128,138.045
100,0.42366451940184935,0.10934319320344302,30,205,211,204,208.408
101,0.7693095930768055,0.17663392387777963,88,181,182,175,180.90299999999996
102,0.6625909843183801,0.14915130045863564,64,207,210,204,208.419
103,0.5235346812771815,0.11503016509050731,39,225,229,225,227.34799999999998
104,1.3002373100707423,0.23514468079123718,198,167,168,158,166.561
105,0.4540625645216747,0.125828383991269,37,207,213,210,210.86399999999998
106,0.6625909843183801,0.15614276766763419,67,213,216,210,214.41899999999998
107,1.5464813691085968,0.2905633870154488,291,138,136,126,135.458
108,0.8768713203771692,0.18138190188813852,103,181,183,177,181.718
109,0.6625909843183801,0.15614276766763419,67,210,217,210,214.10899999999998
